Symbol,Date,Open,High,Low,Close,Volume
14D.AX,28 Jan 2019,0.305,0.305,0.305,0.305,0
14DO.AX,28 Jan 2019,0.125,0.125,0.125,0.125,0
1AD.AX,28 Jan 2019,0.27,0.27,0.27,0.27,0
1AG.AX,28 Jan 2019,0.032,0.032,0.032,0.032,0
1AL.AX,28 Jan 2019,0.91,0.91,0.91,0.91,0
1ST.AX,28 Jan 2019,0.026,0.026,0.026,0.026,0
3DP.AX,28 Jan 2019,0.05,0.05,0.05,0.05,0
3PL.AX,28 Jan 2019,1.13,1.13,1.13,1.13,0
4CE.AX,28 Jan 2019,0.014,0.014,0.014,0.014,0
4DS.AX,28 Jan 2019,0.056,0.056,0.056,0.056,0
5GN.AX,28 Jan 2019,0.58,0.58,0.58,0.58,0
88E.AX,28 Jan 2019,0.019,0.019,0.019,0.019,0
8CO.AX,28 Jan 2019,0.03,0.03,0.03,0.03,0
8COO.AX,28 Jan 2019,0.02,0.02,0.02,0.02,0
8EC.AX,28 Jan 2019,0.71,0.71,0.71,0.71,0
8IH.AX,28 Jan 2019,0.075,0.075,0.075,0.075,0
8VI.AX,28 Jan 2019,0.55,0.55,0.55,0.55,0
9SP.AX,28 Jan 2019,0.013,0.013,0.013,0.013,0
A200.AX,28 Jan 2019,98.64,98.64,98.64,98.64,0
A2B.AX,28 Jan 2019,2.02,2.02,2.02,2.02,0
A2M.AX,28 Jan 2019,11.66,11.66,11.66,11.66,0
A2MKOC.AX,28 Jan 2019,3.99,3.99,3.99,3.99,0
A2MKOG.AX,28 Jan 2019,6.1,6.1,6.1,6.1,0
A2MKOH.AX,28 Jan 2019,5.07,5.07,5.07,5.07,0
A2MKOT.AX,28 Jan 2019,2.24,2.24,2.24,2.24,0
A3D.AX,28 Jan 2019,0.465,0.465,0.465,0.465,0
A3DO.AX,28 Jan 2019,0.16,0.16,0.16,0.16,0
A40.AX,28 Jan 2019,0.2,0.2,0.2,0.2,0
A4N.AX,28 Jan 2019,0.089,0.089,0.089,0.089,0
AAA.AX,28 Jan 2019,50.13,50.13,50.13,50.13,0
AAC.AX,28 Jan 2019,1.09,1.09,1.09,1.09,0
AACKOB.AX,28 Jan 2019,0.505,0.505,0.505,0.505,0
AAJ.AX,28 Jan 2019,0.01,0.01,0.01,0.01,0
AAP.AX,28 Jan 2019,0.02,0.02,0.02,0.02,0
AAR.AX,28 Jan 2019,0.063,0.063,0.063,0.063,0
AAU.AX,28 Jan 2019,0.008,0.008,0.008,0.008,0
AB1.AX,28 Jan 2019,0.099,0.099,0.099,0.099,0
AB1O.AX,28 Jan 2019,0.03,0.03,0.03,0.03,0
ABA.AX,28 Jan 2019,5.44,5.44,5.44,5.44,0
ABC.AX,28 Jan 2019,4.59,4.59,4.59,4.59,0
ABCKOQ.AX,28 Jan 2019,2.16,2.16,2.16,2.16,0
ABL.AX,28 Jan 2019,0.003,0.003,0.003,0.003,0
ABP.AX,28 Jan 2019,3.52,3.52,3.52,3.52,0
ABR.AX,28 Jan 2019,0.17,0.17,0.17,0.17,0
ABT.AX,28 Jan 2019,0.18,0.18,0.18,0.18,0
ABV.AX,28 Jan 2019,0.02,0.02,0.02,0.02,0
ABW.AX,28 Jan 2019,0.19,0.19,0.19,0.19,0
ABX.AX,28 Jan 2019,0.11,0.11,0.11,0.11,0
AC8.AX,28 Jan 2019,0.655,0.655,0.655,0.655,0
ACB.AX,28 Jan 2019,0.045,0.045,0.045,0.045,0
ACDC.AX,28 Jan 2019,46.43,46.43,46.43,46.43,0
ACF.AX,28 Jan 2019,0.45,0.45,0.45,0.45,0
ACP.AX,28 Jan 2019,0.009,0.009,0.009,0.009,0
ACQ.AX,28 Jan 2019,1.09,1.09,1.09,1.09,0
ACR.AX,28 Jan 2019,0.195,0.195,0.195,0.195,0
ACS.AX,28 Jan 2019,0.006,0.006,0.006,0.006,0
ACW.AX,28 Jan 2019,0.053,0.053,0.053,0.053,0
AD1.AX,28 Jan 2019,0.02,0.02,0.02,0.02,0
AD8.AX,28 Jan 2019,3.79,3.79,3.79,3.79,0
ADA.AX,28 Jan 2019,0.675,0.675,0.675,0.675,0
ADD.AX,28 Jan 2019,0.01,0.01,0.01,0.01,0
ADH.AX,28 Jan 2019,1.835,1.835,1.835,1.835,0
ADJ.AX,28 Jan 2019,0.045,0.045,0.045,0.045,0
ADN.AX,28 Jan 2019,0.007,0.007,0.007,0.007,0
ADNOB.AX,28 Jan 2019,0.003,0.003,0.003,0.003,0
ADO.AX,28 Jan 2019,0.017,0.017,0.017,0.017,0
ADR.AX,28 Jan 2019,0.035,0.035,0.035,0.035,0
ADT.AX,28 Jan 2019,0.645,0.645,0.645,0.645,0
ADV.AX,28 Jan 2019,0.004,0.004,0.004,0.004,0
ADX.AX,28 Jan 2019,0.008,0.008,0.008,0.008,0
ADY.AX,28 Jan 2019,0.015,0.015,0.015,0.015,0
AEB.AX,28 Jan 2019,0.011,0.011,0.011,0.011,0
AEBO.AX,28 Jan 2019,0.002,0.002,0.002,0.002,0
AEE.AX,28 Jan 2019,0.018,0.018,0.018,0.018,0
AEF.AX,28 Jan 2019,1.75,1.75,1.75,1.75,0
AEG.AX,28 Jan 2019,1.105,1.105,1.105,1.105,0
AEI.AX,28 Jan 2019,0.15,0.15,0.15,0.15,0
AER.AX,28 Jan 2019,0.066,0.066,0.066,0.066,0
AEV.AX,28 Jan 2019,0.018,0.018,0.018,0.018,0
AFA.AX,28 Jan 2019,0.078,0.078,0.078,0.078,0
AFG.AX,28 Jan 2019,1.25,1.25,1.25,1.25,0
AFI.AX,28 Jan 2019,6.28,6.28,6.28,6.28,0
AFP.AX,28 Jan 2019,1.975,1.975,1.975,1.975,0
AFR.AX,28 Jan 2019,0.02,0.02,0.02,0.02,0
AFT.AX,28 Jan 2019,0.001,0.001,0.001,0.001,0
AGD.AX,28 Jan 2019,0.07,0.07,0.07,0.07,0
AGE.AX,28 Jan 2019,0.004,0.004,0.004,0.004,0
AGEO.AX,28 Jan 2019,0.001,0.001,0.001,0.001,0
AGG.AX,28 Jan 2019,3.55,3.55,3.55,3.55,0
AGH.AX,28 Jan 2019,0.295,0.295,0.295,0.295,0
AGI.AX,28 Jan 2019,0.78,0.78,0.78,0.78,0
AGJ.AX,28 Jan 2019,0.042,0.042,0.042,0.042,0
AGL.AX,28 Jan 2019,21.66,21.66,21.66,21.66,0
AGLKOB.AX,28 Jan 2019,1.13,1.13,1.13,1.13,0
AGLKOF.AX,28 Jan 2019,5.84,5.84,5.84,5.84,0
