Symbol,Date,Open,High,Low,Close,Volume
AACG,24 Oct 2019,1.82,1.8709,1.7973,1.8309,7400
AAL,24 Oct 2019,29.27,29.85,28.49,29.41,17963200
AAME,24 Oct 2019,2.29,2.29,2.29,2.29,0
AAOI,24 Oct 2019,10.15,10.15,9.84,9.84,453500
AAON,24 Oct 2019,47.29,47.9,46.78,47.59,114200
AAPL,24 Oct 2019,244.51,244.8,241.805,243.58,17916200
AAWW,24 Oct 2019,24.41,24.41,23.27,23.98,429700
AAXJ,24 Oct 2019,68.83,68.83,68.58,68.71,706200
AAXN,24 Oct 2019,53.82,55.06,53.56,54.92,508700
ABCB,24 Oct 2019,43.19,43.19,42.44,42.82,304200
ABDC,24 Oct 2019,8.93,8.96,8.89,8.9,8800
ABEO,24 Oct 2019,2.42,2.4432,2.28,2.28,352400
ABEOW,24 Oct 2019,0.16,0.16,0.15,0.15,2700
ABIL,24 Oct 2019,0.4999,0.4999,0.46,0.4898,19800
ABIO,24 Oct 2019,5.62,5.64,5.21,5.3,31200
ABMD,24 Oct 2019,178.86,183.2,177.895,179.96,551800
ABTX,24 Oct 2019,35.89,35.89,34.68,35.01,322700
ABUS,24 Oct 2019,0.89,0.8925,0.8421,0.888,198900
ACAD,24 Oct 2019,41.71,41.71,40.5293,41.13,1063000
ACAM,24 Oct 2019,9.83,9.83,9.83,9.83,0
ACAMU,24 Oct 2019,10.1,10.12,10.1,10.12,1500
ACAMW,24 Oct 2019,0.73,0.75,0.73,0.75,600
ACBI,24 Oct 2019,17.79,17.96,17.61,17.93,83200
ACER,24 Oct 2019,3.32,3.415,3.28,3.35,22100
ACGL,24 Oct 2019,41.4,41.65,41.24,41.39,1224300
ACGLO,24 Oct 2019,26.19,26.25,26.06,26.13,23900
ACGLP,24 Oct 2019,25.58,25.7,25.58,25.67,32900
ACHC,24 Oct 2019,31.58,31.7,30.8,31.37,416000
ACHN,24 Oct 2019,6.05,6.2,6.05,6.19,5350100
ACHV,24 Oct 2019,1.44,1.5199,1.4,1.44,53300
ACIA,24 Oct 2019,64.89,65.19,64.6,64.65,622900
ACIU,24 Oct 2019,5.22,5.41,5.19,5.4,48100
ACIW,24 Oct 2019,31.09,31.33,30.51,31.15,341300
ACLS,24 Oct 2019,18.57,19.25,18.44,19.15,336500
ACMR,24 Oct 2019,12.88,14.11,12.86,13.5,131000
ACNB,24 Oct 2019,34.39,34.5,34.205,34.5,3500
ACOR,24 Oct 2019,2.32,2.55,1.94,2,3609800
ACRS,24 Oct 2019,1.65,1.7,1.59,1.68,1511100
ACRX,24 Oct 2019,2.22,2.22,2.17,2.18,253900
ACST,24 Oct 2019,1.94,1.95,1.8563,1.88,1035400
ACT,24 Oct 2019,23.73,23.7335,23.73,23.73,700
ACTG,24 Oct 2019,2.66,2.73,2.56,2.56,61200
ACTT,24 Oct 2019,9.9,9.9,9.83,9.83,500700
ACTTU,24 Oct 2019,10.39,10.4,10.38,10.4,1400
ACTTW,24 Oct 2019,0.9,0.9,0.9,0.9,2300
ACWI,24 Oct 2019,75.31,75.3507,74.9848,75.2,1295200
ACWX,24 Oct 2019,47.37,47.37,47.185,47.3,888500
ADAP,24 Oct 2019,0.9999,0.9999,0.8603,0.894,317800
ADBE,24 Oct 2019,264.04,271.46,263.25,269.7,3597600
ADES,24 Oct 2019,14.32,14.3459,13.98,14.04,104200
ADI,24 Oct 2019,106.37,106.675,104.92,105.32,3053400
ADIL,24 Oct 2019,1.57,1.57,1.45,1.45,18900
ADILW,24 Oct 2019,0.2,0.2,0.2,0.2,0
ADMA,24 Oct 2019,4.7,4.8,4.57,4.68,410900
ADMP,24 Oct 2019,0.72,0.77,0.66,0.74,2366900
ADMS,24 Oct 2019,3.95,3.95,3.76,3.83,273000
ADP,24 Oct 2019,160.95,162.64,160.1,162.54,1100900
ADPT,24 Oct 2019,24.72,27.25,24.05,26,848800
ADRA,24 Oct 2019,31.29,31.29,31.29,31.29,0
ADRD,24 Oct 2019,21.5807,21.5807,21.5301,21.5301,2400
ADRE,24 Oct 2019,39.98,40.0047,39.975,40.0047,2500
ADRO,24 Oct 2019,0.9881,0.9881,0.903,0.936,1162000
ADRU,24 Oct 2019,21.02,21.02,21.02,21.02,100
ADSK,24 Oct 2019,143,146.1,142.52,145.37,1318100
ADTN,24 Oct 2019,9.36,9.42,9.04,9.09,205500
ADUS,24 Oct 2019,85.88,86.13,84.48,84.94,137200
ADVM,24 Oct 2019,7.12,7.15,6.85,6.89,819700
ADXS,24 Oct 2019,0.325,0.34,0.3058,0.31,3229000
AEGN,24 Oct 2019,21.85,21.85,21.44,21.61,66500
AEHR,24 Oct 2019,1.78,1.81,1.75,1.8,49800
AEIS,24 Oct 2019,54.63,58.41,54.63,58.26,595200
AEMD,24 Oct 2019,3.91,4.48,3.66,4.34,34700
AERI,24 Oct 2019,21.08,21.35,20.3,20.795,684800
AESE,24 Oct 2019,4.51,4.79,4.51,4.63,17800
AEY,24 Oct 2019,2.1438,2.17,2.1148,2.14,31100
AEYE,24 Oct 2019,3.18,3.7,3.05,3.42,118800
AEZS,24 Oct 2019,1.11,1.11,1.05,1.08,82700
AFH,24 Oct 2019,0.62,0.6399,0.55,0.5772,164200
AFIN,24 Oct 2019,14.7,14.8,14.47,14.49,497800
AFINP,24 Oct 2019,25.44,25.4454,25.3803,25.39,65600
AFMD,24 Oct 2019,2.79,2.8447,2.75,2.79,178900
AFYA,24 Oct 2019,25.52,25.86,24.91,25.2,81500
AGBAR,24 Oct 2019,0.23,0.23,0.23,0.23,0
AGBAU,24 Oct 2019,10.17,10.23,10.17,10.22,150200
AGEN,24 Oct 2019,2.5,2.52,2.4,2.43,619900
AGFS,24 Oct 2019,2.37,2.42,2.24,2.41,101400
AGFSW,24 Oct 2019,0.0073,0.0157,0.0073,0.0157,9100
AGIO,24 Oct 2019,32.45,32.795,31.76,31.91,412800
AGLE,24 Oct 2019,7.69,7.69,7.27,7.3,50000
AGMH,24 Oct 2019,19.83,20.71,19.79,20.71,3000
AGNC,24 Oct 2019,16.75,16.78,16.56,16.6,3070600
AGNCB,24 Oct 2019,25.79,25.84,25.745,25.75,9900
AGNCM,24 Oct 2019,25.33,25.38,25.3069,25.37,32500
AGNCN,24 Oct 2019,25.78,25.8607,25.77,25.84,29200
AGNCO,24 Oct 2019,25.27,25.4,25.25,25.4,123100
AGND,24 Oct 2019,40.82,40.9841,40.81,40.831,3100
AGRX,24 Oct 2019,1.2,1.21,1.12,1.14,2337400
AGTC,24 Oct 2019,2.98,3,2.81,2.82,50000
AGYS,24 Oct 2019,24.94,25.96,24.84,25.55,244900
AGZD,24 Oct 2019,47.77,47.939,47.63,47.7915,7400
AHPI,24 Oct 2019,1.29,1.3,1.28,1.29,5700
